time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-26T14:11:18.090Z,-17.2871,-174.091,83.15,5.6,mww,,33,4.03,0.98,us,us2000ixpr,2018-12-27T16:15:13.040Z,"151km N of Neiafu, Tonga",earthquake,8.3,4.4,0.057,30,reviewed,us,us
2018-12-26T03:23:53.840Z,-16.2911,167.868,35,5.1,mb,,62,5.905,0.97,us,us2000ixli,2018-12-26T03:44:47.040Z,"51km ESE of Lakatoro, Vanuatu",earthquake,11.9,2,0.088,42,reviewed,us,us
2018-12-26T02:19:14.000Z,37.63,15.1,1,5,mwr,,,,1.11,us,us2000ixky,2018-12-28T01:41:08.795Z,"2km ENE of Trecastagni, Italy",earthquake,7,3.8,0.08,15,reviewed,rom,us
2018-12-25T12:48:04.250Z,-30.4391,-177.2096,10,5,mb,,69,1.344,0.59,us,us2000ixg9,2018-12-25T13:09:18.040Z,"146km SSE of Raoul Island, New Zealand",earthquake,9.9,1.8,0.08,50,reviewed,us,us
2018-12-25T09:46:10.940Z,29.0989,142.409,10,5,mww,,97,2.005,1,us,us2000ixez,2018-12-25T10:05:46.040Z,"224km N of Chichi-shima, Japan",earthquake,7.5,1.8,0.075,17,reviewed,us,us
2018-12-25T07:18:22.190Z,1.1502,126.5168,24.47,5.3,mww,,38,0.929,0.98,us,us2000ixds,2018-12-25T07:34:47.040Z,"102km WNW of Kota Ternate, Indonesia",earthquake,6.2,4.6,0.073,18,reviewed,us,us
2018-12-25T00:10:30.610Z,34.0277,141.6252,10,5.3,mww,,36,1.764,0.92,us,us2000ixal,2018-12-31T06:43:59.040Z,"172km SE of Katsuura, Japan",earthquake,6.8,1.8,0.073,18,reviewed,us,us
2018-12-24T13:12:12.620Z,-34.6487,179.0774,156.02,5,mb,,161,2.973,1.03,us,us2000ix4a,2018-12-29T20:42:34.040Z,"South of the Kermadec Islands",earthquake,8.6,8.5,0.109,27,reviewed,us,us
2018-12-24T12:41:19.220Z,55.4171,164.435,10,6.1,mww,,41,4.156,0.85,us,us2000ix3y,2018-12-25T19:47:27.040Z,"101km WNW of Nikol'skoye, Russia",earthquake,7.8,1.8,0.061,26,reviewed,us,us
2018-12-24T10:41:39.590Z,54.4977,164.211,10,5.4,mww,,96,3.616,1,us,us2000ix38,2018-12-24T10:56:47.040Z,"138km WSW of Nikol'skoye, Russia",earthquake,8.2,1.8,0.073,18,reviewed,us,us
2018-12-24T02:19:29.910Z,-21.4155,-68.2422,116.61,5.1,mww,,40,1.004,1.06,us,us2000iwy7,2018-12-24T02:49:27.804Z,"136km NNE of Calama, Chile",earthquake,4.3,5.1,0.065,23,reviewed,us,us
2018-12-24T01:00:54.240Z,-20.2373,-175.0982,94.41,5,mb,,43,5.008,0.86,us,us2000iwxs,2018-12-24T01:54:22.040Z,"92km WSW of Pangai, Tonga",earthquake,9.6,4.7,0.075,56,reviewed,us,us
2018-12-24T00:43:11.240Z,34.0647,141.6485,9.06,5.5,mww,,31,1.8,0.79,us,us2000iwx0,2018-12-31T03:53:19.186Z,"171km SE of Katsuura, Japan",earthquake,6.5,3.3,0.065,23,reviewed,us,us
2018-12-24T00:18:07.020Z,34.0702,141.6992,13.04,5.6,mww,,26,1.839,0.82,us,us2000iwwp,2018-12-31T04:11:26.626Z,"174km SE of Katsuura, Japan",earthquake,5.7,3.1,0.069,20,reviewed,us,us
2018-12-23T23:08:43.340Z,-20.2873,-175.0923,113,6.4,mww,,20,5.013,0.91,us,us2000iwvb,2018-12-30T05:08:00.552Z,"94km N of Nuku`alofa, Tonga",earthquake,7.1,1.8,0.045,47,reviewed,us,us
2018-12-23T19:32:22.080Z,30.4977,87.7116,10,5.6,mww,,32,2.649,1.18,us,us2000iws8,2018-12-25T15:45:10.040Z,"100km WSW of Jiajuedibu, China",earthquake,2.3,1.8,0.069,20,reviewed,us,us
2018-12-23T14:03:56.650Z,-0.4957,99.732,97.06,5,mb,,157,1.541,0.87,us,us2000iwpp,2018-12-23T15:13:54.040Z,"23km WSW of Tiku, Indonesia",earthquake,8,6.8,0.07,65,reviewed,us,us
2018-12-23T10:09:21.400Z,-22.0872,169.2724,10,5,mb,,96,2.621,0.81,us,us2000iwml,2018-12-23T10:19:42.040Z,"155km ESE of Tadine, New Caledonia",earthquake,6.4,2,0.118,23,reviewed,us,us
2018-12-23T03:12:48.200Z,54.9121,164.6623,10,5,mb,,160,4.023,1.01,us,us2000iwi6,2018-12-23T03:30:22.040Z,"90km WSW of Nikol'skoye, Russia",earthquake,8.5,1.5,0.046,152,reviewed,us,us
2018-12-22T14:25:01.560Z,-13.3797,166.714,42,6,mww,,37,2.109,1.36,us,us2000iwat,2018-12-22T17:37:57.679Z,"106km WNW of Sola, Vanuatu",earthquake,6.7,1.9,0.037,69,reviewed,us,us
